# PRN        X (m)              Y (m)              Z (m)
G 7      7882395.121     22724651.830    -10543651.501
G 7    -13143645.214      6713337.776     22110274.881
G 7    -16755219.999    -17520108.405    -11609303.878
G 7     22634415.297     -8666700.951    -11573540.876
G 8     -7364249.965     15697371.315     20648481.520
G 8    -21115353.044      1941223.772    -16190766.951
G 8      7061288.132    -24979906.801     -4054344.700
G 8     15157788.980      8184193.426     19686065.946
G 8      -779472.931     19466058.141    -17900584.632
G 8    -25319708.879     -8768405.239     -1821399.418
G 8      8004606.495    -15693486.412     20409697.552
G 8     20699193.758     -1327008.749    -16766462.374
G 8     -4872360.967     24433987.365     -8442839.118
G 8     -7403536.142     24988923.271     -3279348.394
G 8    -15137910.056     -8954574.351     19366043.533
G 8      1338707.874    -19039701.234    -18331544.802
G 9     10108935.737    -24077235.874     -5623807.957
G 9     14347289.347      6605214.595     21653304.313
G 9       859993.310     22047581.817    -14951042.520
G 9    -23882250.070     -9201548.401     -6518310.257
G 9      7030146.318    -14016788.526     21136662.128
G 9     24717821.752     -8860728.378      2534635.361
G 9     20930484.534       623465.063    -16198164.304
G 9    -10396490.471     24100717.561     -4975094.029
G 9    -14265748.265     -7383217.169     21454172.206
G 9      -404777.622    -21659463.259    -15519603.377
G 9     23933723.058      9559050.580     -5756806.708
G 9     -7937320.849     13914798.621     20882380.427
G 0    -19584842.077     -5842421.341     17170883.792
G 0    -21169947.471    -13584923.589      8937034.991
G 0      7059254.716    -14329904.166    -21287511.498
G 0     23011064.021      4379330.513     12349397.864
G 0    -13810656.380     20939751.086      8313817.918
G 0    -19308156.665     11522283.533    -13937479.294
G 0    -13769230.086     -8321138.234    -21066287.272
G 0      5103377.046    -22519962.236     13288118.400
G 0     21164481.614     14084759.831      8139959.426
G 0     -7701176.659     14094927.149    -21219449.143
G 0    -22595968.706     -4742369.180     12962410.002
G 0     14181175.767    -20923905.775      7708663.104
G 0     13523745.501      8960940.644    -20964984.444
G 1    -17146998.067     13587751.625     15377209.825
G 1    -24149858.781     10798254.105      4927186.271
G 1    -16008107.042     -6429520.768    -21019502.512
G 1     11524159.580    -24312079.878      2574941.613
G 1     14641230.730     13285511.883     17496530.757
G 1     -5453221.114     15798804.115    -19821154.952
G 1    -21933064.445    -12932963.474      5791267.440
G 1     17830586.264    -13434763.574     14743416.468
G 1     15473886.715      6974360.219    -21248289.246
G 1    -11763148.962     24095504.896      3333546.495
G 1    -14547567.683    -13964755.712     17021999.641
G 1      6040902.619    -15244634.078    -20079044.859
G 2    -20339648.383     -6059611.341     15904618.792
G 2     -1941900.570    -16860051.710    -20202839.908
G 2     25865412.264      -229832.616      5414370.046
G 2     -7465369.628     20676514.810     14981208.399
G 2    -16939887.413      1282139.605    -20643378.119
G 2      -671586.996    -26200553.838      5060938.018
G 2     20544613.132      6664927.763     15385273.243
G 2      1171033.316     16673607.795    -20414614.453
G 2    -25702547.967      -128052.848      6153914.014
G 2      8134301.914    -20876413.403     14348823.840
G 2     16748402.823      -521864.464    -20833085.231
G 2     11482904.362     15721708.970    -18332389.872
G 2       321704.284     26051980.854      5796722.148
G 3    -14577827.953     21413316.063      6322792.028
G 3    -16008274.240     15342208.665     14669452.655
G 3    -12309143.638    -18462693.568     14153663.980
G 3     10048232.216    -12069237.982    -20995687.612
G 3     19607699.147     15520758.431      8672798.197
G 3    -20375023.013     11684744.665     12923560.413
G 3    -12595760.431    -10106565.257    -21514940.342
G 3     14746686.030    -21062485.512      7043584.651
G 3     12150274.913     18931960.994     13655044.263
G 3    -10563625.344     11442718.812    -21095231.383
G 3    -19120885.536    -15672438.413      9471334.229
G 3     20936278.795    -11460383.896     12218659.516
G 4    -23903395.357    -11812129.737      2674815.565
G 4     13548862.397    -14919873.806     17562563.926
G 4     17518618.399      4350414.148    -19396739.299
G 4    -11490833.931     23538950.509      2615103.706
G 4    -14340605.872    -14865803.873     16428179.731
G 4      5976680.700    -16322107.310    -20174058.846
G 4     23685699.438     12058315.371      3420279.835
G 4    -14206774.252     14825603.393     17112246.088
G 4    -17019884.691     -4907336.472    -19699816.861
G 4     -8326321.435    -13656652.508    -21041715.315
G 4     11748691.018    -23312924.012      3373095.201
G 4     14242932.263     15412694.746     16007995.537
G 4     -6529656.344     15798011.603    -20423711.588
G 5    -15444422.034      3588722.789    -21430579.220
G 5    -13812734.990    -17665959.265     14655143.144
G 5     24586702.079     -7232991.743      7456891.555
G 5      4550146.246     14824048.995    -21442012.318
G 5    -17336620.044     13388892.562     14611453.255
G 5     -6255260.026    -25013377.407      5823726.365
G 5     15901499.129     -2792637.992    -21219123.971
G 5     13218314.904     17632920.952     15232343.479
