# PRN        X (m)              Y (m)              Z (m)
C 1    -14527489.807    -23162755.059    -15385038.442
C 1    -15635288.453    -24493809.602     -4924343.624
C 1    -14748683.104    -15024866.753      7110534.344
C 1    -10359088.575      -525310.203     17608662.403
C 1     -2574285.410     10825289.127     23764654.717
C 1      6799424.298     12759503.305     23820876.190
C 1     15036505.793      4307598.431     17693049.482
C 1     19908144.930     -9602501.760      7083710.533
C 1     20794134.707    -20907845.064     -5139956.737
C 1     18845924.955    -22730383.577    -15791171.497
C 1     16313141.390    -13170858.397    -22206856.501
C 1     15301678.904      3427692.058    -23045228.458
C 1     16573002.507     18870639.399    -18523185.991
C 1     19123560.537     25483072.503    -10047562.279
C 1     20743014.025     20116743.533       266017.128
C 1     19274100.015      5968510.095     10136288.906
C 1     13832142.621     -9178469.925     17671718.406
C 1      5292476.113    -17155852.896     21580450.523
C 1     -4030126.497    -13591118.354     21157189.893
C 1    -11446120.463      -299483.515     16393650.345
C 2    -14374486.547     16098826.445    -21556296.490
C 2     -8732899.515      1752353.388    -22142281.837
C 2     -5640631.727    -15163855.326    -17747369.917
C 2     -4865820.344    -26137595.616     -8985676.948
C 2     -4678907.577    -25794355.280      2327799.449
C 2     -2880155.085    -14781289.781     13489510.058
C 2      1919919.459       738964.722     21617423.317
C 2      9443668.944     12471655.847     24423900.414
C 2     17742652.218     14379555.449     20945381.369
C 2     24147321.912      5971703.470     11991940.841
C 2     26647634.580     -7474547.993       -61624.022
C 2     24861796.915    -17845885.936    -11999253.256
C 2     20186644.038    -18581254.337    -20662768.588
C 2     15069091.872     -8366197.795    -23898669.195
C 2     11669527.752      8051768.506    -21172045.279
C 2     10710242.773     22438830.337    -13514348.563
C 2     11167296.303     27415347.656     -3052940.657
C 2     10907135.955     20443837.889      7630439.981
C 2      7927320.871      5277559.719     16220265.094
C 2      1512391.987    -10099509.131     21140362.320
C 2     -7270171.515    -17660711.085     21642822.458
C 2    -15976140.535    -13536681.277     17774644.655
C 2    -22002536.124      -150922.258     10315495.168
C 2    -23916490.596     15101659.615       623442.565
C 3     -4427412.254    -24689407.173     32765413.611
C 3     -8591811.380    -15571943.532     30778453.138
C 3    -10890998.896      -307587.834     27148694.886
C 3    -10720379.670     17105498.332     21849070.981
C 3     -8131174.713     32113032.218     14921218.070
C 3     -3822071.379     40785107.251      6572507.263
