# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
         210   G05    0.1383   -0.7127   -0.0151         0.7262     42.7545
         210   G06    0.8467    0.3886    0.3722         1.0033   8727.0010
         210   G08   -1.6343   -0.3189   -0.1969         1.6767    787.3506
         210   G09   -1.1151    0.8150    1.2637         1.8721    390.1542
         210   G10    0.8560   -1.4786   -1.6231         2.3566   3555.4543
         210   G11    0.1130    1.9106    1.1075         2.2112   3118.1390
         210   G12   -0.5803   -0.6952    0.0990         0.9110   3834.2445
         210   G13    0.9072   -0.6517   -1.3868         1.7808    230.4734
         210   G14   -0.7978   -0.2078    1.7399         1.9254    724.3440
         210   G15   -0.3037   -0.7783    0.3253         0.8965   6063.6026
         210   G16   -1.7232   -0.0760    0.3460         1.7592    553.1975
         210   G17   -0.2719   -0.2065    0.3575         0.4943   8893.5454
         210   G18   -0.3204    1.7320    0.8190         1.9424   8403.2108
         210   G19   -0.3439    0.7931   -0.8326         1.2002   3679.1864
         210   G20   -0.8881   -1.6835   -0.5675         1.9862   5145.8670
         210   G21   -0.9947   -1.4288   -0.7249         1.8858    954.2649
         210   G22    0.1902    0.2005   -0.1955         0.3385   7799.7394
         210   G23   -0.6053   -0.5167    0.1713         0.8140   3616.2135
         210   G24    0.8476   -0.8994   -0.5376         1.3477     47.9778
         210   G25   -1.5708   -1.1799    0.7589         2.1061    541.2111
         210   G26   -1.4508    0.0434   -0.3353         1.4897     65.8580
         210   G27   -1.1475    0.4108   -0.6734         1.3924   7301.9287
         210   G28    1.0670    0.6455   -0.7029         1.4315   5637.6918
         210   G29    0.1186    0.2782    0.1783         0.3511     80.7571
         210   G30   -0.4917    1.0847   -0.4265         1.2650    657.5009
         210   G31   -0.3670    1.3894   -0.0764         1.4391     29.4924
         210   G32   -0.8647   -0.8234    0.5514         1.3152   8982.7779
         240   G01   -0.8568    0.2105   -0.5783         1.0549   1917.0324
         240   G02    0.2463   -1.9976   -0.5656         2.0907   8415.1720
         240   G03   -2.6225    0.2173   -1.3169         2.9427    841.6717
         240   G05    0.0190   -0.6240   -0.2110         0.6590     42.7678
         240   G06    0.7580    0.6542    0.3166         1.0501   8727.6681
         240   G08   -1.7250   -0.6259   -0.1524         1.8413    787.4499
         240   G09   -1.3245    0.5744    1.3192         1.9556    390.3240
         240   G10    1.1465   -1.3848   -1.2935         2.2148   3557.1017
         240   G11    0.0437    2.1400    0.6124         2.2263   3118.6971
         240   G12   -0.7696   -0.8019    0.3860         1.1766   3834.3153
         240   G13    0.9513   -0.3898   -1.4639         1.7888    230.5159
         240   G14   -0.9021   -0.5378    1.5917         1.9070    724.4339
         240   G15   -0.1077   -0.7475    0.1675         0.7736   6063.7540
         240   G16   -1.5524   -0.0355    0.5056         1.6330    553.3157
         240   G17   -0.3744    0.0496    0.1831         0.4197   8893.5639
         240   G18   -0.3719    2.2105    0.5693         2.3128   8403.3859
         240   G19   -0.4371    0.6108   -0.7883         1.0888   3679.3565
         240   G20   -0.5607   -1.6686   -0.6789         1.8867   5145.8793
         240   G21   -1.0906   -1.3356   -0.7208         1.8689    954.3166
         240   G22   -0.1540   -0.0677   -0.4404         0.4714   7799.8055
         240   G23   -0.6853   -0.7288    0.1763         1.0158   3616.2797
         240   G24    0.9435   -0.7804   -0.7125         1.4167     47.9853
         240   G25   -1.3969   -1.0588    1.1524         2.0977    541.2111
         240   G26   -1.5582    0.1745   -0.4074         1.6200     65.9285
         240   G27   -1.1358    0.3247   -0.7186         1.3827   7303.2684
         240   G28    0.8892    0.6710   -0.8836         1.4218   5637.6965
         240   G29    0.2449    0.3459    0.3910         0.5766     80.8559
         240   G30   -1.0575    1.4418    0.3645         1.8248    657.5238
         240   G31   -0.6805    1.6665    0.0801         1.8018     29.5112
         240   G32   -0.9232   -0.8021    0.4854         1.3158   8984.1176
         270   G01   -0.8141    0.3606   -0.5104         1.0263   1918.0263
         270   G02    0.3145   -2.0198   -0.0643         2.0451   8415.2283
         270   G03   -2.3527    0.1444   -1.9408         3.0533    841.8086
         270   G05   -0.0082   -0.4491   -0.2990         0.5396     42.7810
         270   G06    0.7390    0.7136    0.2093         1.0484   8728.3352
         270   G08   -1.5665   -0.4984   -0.0749         1.6456    787.5493
         270   G09   -1.3914    0.3883    1.1998         1.8778    390.4939
         270   G10    1.7516   -1.4453   -1.0341         2.4953   3558.7492
         270   G11   -0.1601    2.1351    0.0974         2.1433   3119.2553
         270   G12   -0.5627   -0.6692    0.4344         0.9763   3834.3860
         270   G13    1.0205   -0.0643   -1.4410         1.7669    230.5584
         270   G14   -1.1187   -0.6831    1.3157         1.8572    724.5237
         270   G15   -0.2305   -1.0013   -0.0722         1.0300   6063.9053
         270   G16   -1.2988   -0.1825    0.9202         1.6021    553.4338
         270   G17   -0.0553   -0.0234    0.4473         0.4513   8893.5823
         270   G18   -0.5150    2.6617    0.2304         2.7208   8403.5609
         270   G19   -0.6623    0.5828   -0.8550         1.2285   3679.5267
         270   G20   -0.2579   -1.5752   -0.8139         1.7917   5145.8916
         270   G21   -0.6967   -1.3975   -0.3653         1.6037    954.3683
         270   G22   -0.0918    0.0035   -0.1914         0.2123   7799.8717
         270   G23   -0.5979   -0.9002    0.1553         1.0918   3616.3459
         270   G24    0.9620   -0.6838   -0.8556         1.4578     47.9929
         270   G25   -1.0716   -0.9283    1.4432         2.0231    541.2111
         270   G26   -1.3242   -0.1025    0.0138         1.3283     65.9989
         270   G27   -1.1601    0.3485   -0.7219         1.4101   7304.6081
         270   G28    0.6596    0.7060   -0.9621         1.3635   5637.7011
         270   G29    0.0495    0.2209    0.2647         0.3483     80.9547
         270   G30   -1.2326    1.4786    0.9700         2.1556    657.5470
         270   G31   -0.5887    1.2027    0.1650         1.3492     29.5300
         270   G32   -0.8632   -0.8292    0.0867         1.2001   8985.4573
         300   G01   -0.6966    0.5628   -0.2414         0.9275   1919.0202
         300   G02    0.3722   -2.1538    0.4104         2.2239   8415.2847
         300   G03   -1.8997    0.1025   -2.2513         2.9475    841.9455
         300   G05    0.2250   -0.3074   -0.3640         0.5270     42.7942
         300   G06    0.6813    0.6738    0.0249         0.9586   8729.0023
         300   G08   -1.5786   -0.7902    0.2860         1.7884    100.4760
         300   G09   -1.3627    0.2612    0.9872         1.7029    390.6638
         300   G10    2.3402   -1.6072   -0.7495         2.9362   3560.3966
         300   G11   -1.1256    0.6221   -0.7831         1.5057   2092.5217
         300   G12   -0.2227   -0.4682    0.2813         0.5898   3834.4568
         300   G13    1.1327    0.2928   -1.3088         1.7555    230.6008
         300   G14   -1.3650   -0.7552    0.9956         1.8507    724.6136
         300   G15   -0.0733   -0.4842    0.0833         0.4968   6040.0172
         300   G16   -1.0003   -0.5516    1.4679         1.8599    553.5520
         300   G17    0.4655   -0.1371    0.8399         0.9700   8893.6008
         300   G18   -0.5030    2.9157   -0.1923         2.9651   8403.7360
         300   G19   -1.0569    0.5807   -1.0625         1.6073   3679.6969
         300   G20   -0.1405   -1.4520   -1.0284         1.7848   5145.9039
         300   G21    0.0016   -1.5878    0.3261         1.6210     44.6969
         300   G22    0.1543    0.2940    0.4136         0.5304   7799.9379
         300   G23   -0.1069   -0.7050    0.0398         0.7141   6852.3404
         300   G24    0.8860   -0.5965   -0.9404         1.4231     48.0004
         300   G25   -0.4930   -0.8647    1.5429         1.8361    541.2111
         300   G26   -1.2233   -0.2899    0.4122         1.3230    670.4316
         300   G27   -1.2936    0.2464   -0.6914         1.4873   7305.9479
         300   G28    0.3434    0.8408   -1.0179         1.3642   5637.7057
         300   G29   -0.1770    0.1466    0.1194         0.2590    834.4805
